id,driving_history_score,credit_score,low_education_ind,marital_status,time_driven,area,agecat_grouped,gender,veh_color,max_power,engine_type,veh_age,veh_body_grouped,veh_value,exposure
8295,81,644.7218082,0,1.0,2.0,0.0,1.0,1.0,6.0,128,2.0,3,7.0,6.36,0.777085187
17625,94,634.3061958,0,1.0,1.0,0.0,2.0,0.0,7.0,178,0.0,1,6.0,2.5600000000000005,0.528369388
3802,77,649.2451394,0,0.0,3.0,3.0,1.0,0.0,8.0,270,3.0,4,1.0,6.180000000000001,0.38459125
12865,59,647.5946546,0,1.0,2.0,3.0,1.0,1.0,3.0,120,3.0,3,7.0,6.49,0.116377548
6495,81,657.5504997,0,1.0,2.0,2.0,1.0,0.0,4.0,94,3.0,2,5.0,6.46,0.688416901
4045,113,656.4913893,0,1.0,3.0,3.0,1.0,0.0,0.0,157,3.0,3,7.0,6.140000000000001,0.100653176
10462,70,654.9758312,0,1.0,1.0,2.0,0.0,1.0,7.0,124,3.0,1,7.0,4.78,0.160270304
4773,82,652.1988246,0,0.0,2.0,1.0,0.0,1.0,1.0,132,3.0,4,5.0,6.36,0.639361198
13727,55,643.2330392,1,0.0,2.0,0.0,1.0,0.0,3.0,145,0.0,4,6.0,6.380000000000001,0.999361558
4878,114,659.6873291,0,0.0,2.0,1.0,1.0,0.0,3.0,165,3.0,1,6.0,2.3600000000000003,0.047408036
19694,98,644.2802678,0,1.0,1.0,5.0,1.0,1.0,6.0,210,0.0,2,9.0,4.69,0.155169725
14928,92,646.2737513,0,0.0,2.0,1.0,1.0,1.0,6.0,135,2.0,2,5.0,6.29,0.751842867
12108,80,642.6276893,0,0.0,2.0,0.0,1.0,1.0,3.0,121,3.0,1,5.0,6.08,0.215272415
135,99,644.1513657,0,0.0,2.0,3.0,2.0,0.0,7.0,193,2.0,1,7.0,5.460000000000001,0.175976983
12342,55,659.1675834,0,0.0,1.0,2.0,1.0,1.0,0.0,106,3.0,1,7.0,5.57,0.41625293
13539,107,648.0723652,0,0.0,1.0,4.0,1.0,0.0,3.0,140,1.0,1,5.0,5.26,0.028840807
2931,62,653.4570703,0,1.0,1.0,1.0,1.0,1.0,5.0,97,0.0,3,5.0,6.640000000000001,0.553398561
260,55,662.870669,0,1.0,2.0,2.0,1.0,0.0,1.0,201,3.0,3,9.0,5.460000000000001,0.114068894
13269,82,666.6316441,1,1.0,2.0,0.0,1.0,0.0,7.0,95,3.0,3,5.0,6.51,0.902578526
18841,58,640.7927272,0,0.0,3.0,3.0,1.0,0.0,7.0,119,3.0,2,5.0,6.220000000000001,0.639876485
1228,75,644.4148931,0,1.0,2.0,2.0,1.0,0.0,0.0,195,2.0,3,7.0,6.1000000000000005,0.289186328
16584,64,683.4655996,0,1.0,1.0,4.0,1.0,1.0,5.0,83,3.0,3,5.0,6.08,0.316672999
6877,82,651.6932119,0,0.0,2.0,2.0,1.0,1.0,6.0,123,3.0,3,7.0,6.23,0.282885732
19531,55,667.3406443,0,0.0,1.0,0.0,2.0,0.0,1.0,178,0.0,3,6.0,4.58,0.63247671
3753,80,646.7194934,0,1.0,2.0,0.0,1.0,0.0,0.0,149,3.0,1,5.0,6.2,0.040292415
2054,91,648.5581359,0,0.0,1.0,3.0,1.0,1.0,0.0,169,3.0,1,7.0,5.57,0.128813226
11286,83,636.6171668,0,0.0,2.0,2.0,1.0,0.0,3.0,175,3.0,4,7.0,7.09,0.442255226
10000,75,664.8338893,0,1.0,2.0,0.0,1.0,0.0,3.0,176,0.0,4,9.0,6.66,0.656812059
3247,61,649.048699,0,0.0,2.0,3.0,1.0,1.0,7.0,111,0.0,2,6.0,4.65,0.05561129
200,55,650.6398903,0,0.0,1.0,2.0,0.0,1.0,5.0,91,3.0,3,5.0,6.25,0.178359917
1636,75,640.7229836,0,1.0,2.0,2.0,1.0,1.0,6.0,112,3.0,1,6.0,4.11,0.231133859
10017,64,644.013467,0,1.0,2.0,3.0,2.0,0.0,7.0,128,3.0,2,5.0,6.34,0.264031329
18080,79,642.410511,0,0.0,1.0,4.0,1.0,1.0,6.0,162,1.0,1,7.0,4.98,0.378268781
4575,81,663.8327407,0,0.0,2.0,2.0,1.0,1.0,1.0,158,3.0,1,6.0,1.92,0.57829001
9949,100,666.4556715,0,0.0,2.0,2.0,1.0,1.0,3.0,162,3.0,2,6.0,4.75,0.29252583
17122,69,647.0069203,0,1.0,2.0,2.0,1.0,0.0,7.0,203,1.0,2,6.0,4.5200000000000005,0.092172389
13513,59,673.8781575,0,1.0,2.0,3.0,1.0,0.0,8.0,146,3.0,1,6.0,2.79,0.523971776
15346,78,658.0472571,0,0.0,1.0,0.0,1.0,1.0,4.0,134,3.0,3,6.0,4.92,0.054695827
15908,98,640.7958006,0,1.0,2.0,0.0,1.0,1.0,7.0,192,0.0,3,6.0,4.390000000000001,0.52126767
2646,73,645.689258,0,1.0,1.0,2.0,1.0,0.0,7.0,164,3.0,2,7.0,5.69,0.525353981
16838,120,664.5978038,0,0.0,1.0,1.0,1.0,1.0,1.0,133,0.0,4,6.0,5.540000000000001,0.454970385
8545,63,639.010494,0,0.0,3.0,4.0,1.0,0.0,1.0,232,3.0,1,9.0,3.09,0.077284186
19373,77,654.0225563,0,1.0,3.0,3.0,0.0,0.0,3.0,139,3.0,4,7.0,7.15,0.726805172
2603,79,642.4059643,0,1.0,2.0,2.0,1.0,1.0,0.0,183,3.0,4,7.0,6.470000000000001,0.620348581
16103,88,648.7238126,0,0.0,1.0,1.0,1.0,1.0,4.0,112,2.0,2,6.0,5.8100000000000005,0.132244982
7140,60,643.2084622,0,1.0,1.0,1.0,1.0,0.0,7.0,182,3.0,4,9.0,5.98,0.644617473
7564,73,649.89594,0,1.0,0.0,0.0,1.0,0.0,8.0,193,3.0,4,7.0,6.8500000000000005,0.819252245
22051,99,663.1279227,0,0.0,1.0,1.0,2.0,1.0,7.0,161,0.0,4,6.0,5.640000000000001,0.379761267
11800,74,648.5820612,0,0.0,2.0,2.0,1.0,1.0,5.0,207,0.0,3,2.0,5.6000000000000005,0.196287318
20585,74,646.0371635,1,1.0,2.0,1.0,1.0,1.0,4.0,115,1.0,3,5.0,5.720000000000001,0.926217498
11843,77,652.6548328,0,0.0,1.0,5.0,0.0,0.0,1.0,298,0.0,3,8.0,6.8100000000000005,0.0299309
21708,58,648.841577,0,1.0,1.0,2.0,1.0,0.0,3.0,115,3.0,4,7.0,6.57,0.343163896
3473,83,643.0827325,0,0.0,1.0,2.0,1.0,0.0,6.0,190,0.0,4,7.0,6.54,0.753065743
21325,55,648.2196192,0,1.0,1.0,2.0,1.0,1.0,7.0,82,3.0,4,5.0,7.0600000000000005,0.777293863
19784,64,652.9856009,0,0.0,3.0,3.0,0.0,1.0,1.0,163,3.0,1,7.0,5.0600000000000005,0.527547814
3994,82,656.4475447,0,1.0,1.0,0.0,1.0,0.0,0.0,101,1.0,2,7.0,5.8500000000000005,0.584889233
5437,86,647.0075745,0,1.0,2.0,5.0,2.0,1.0,4.0,166,0.0,2,6.0,5.08,0.309603035
13139,75,659.9975389,0,1.0,2.0,0.0,0.0,1.0,3.0,170,3.0,4,7.0,6.8500000000000005,0.462817507
2993,85,640.2700394,0,1.0,3.0,2.0,1.0,1.0,8.0,94,3.0,2,5.0,6.15,0.806739421
4611,82,641.8256646,0,1.0,2.0,4.0,1.0,1.0,7.0,266,2.0,4,9.0,6.3500000000000005,0.393039257
13436,70,651.7955531,0,0.0,2.0,0.0,1.0,0.0,1.0,115,3.0,4,6.0,6.0,0.356801282
5478,110,642.1407833,1,1.0,2.0,3.0,1.0,0.0,4.0,90,3.0,2,5.0,6.24,0.945594672
14879,75,648.5194493,0,0.0,1.0,0.0,0.0,1.0,3.0,95,3.0,4,5.0,6.73,0.659993084
6551,71,649.1688894,0,1.0,2.0,3.0,1.0,0.0,5.0,184,1.0,3,7.0,6.59,0.388956662
13376,111,650.6180326,0,0.0,1.0,1.0,1.0,1.0,6.0,117,3.0,3,6.0,5.45,0.07163434
6308,82,653.9772471,0,1.0,1.0,2.0,1.0,1.0,4.0,73,1.0,3,5.0,6.76,0.136535172
1513,55,645.1708096,0,0.0,3.0,2.0,0.0,1.0,0.0,96,3.0,4,5.0,6.86,0.610139551
7586,70,650.5967658,0,1.0,0.0,0.0,1.0,1.0,1.0,126,0.0,3,7.0,5.87,0.577350678
3508,78,644.6082346,0,1.0,2.0,2.0,1.0,1.0,5.0,147,1.0,2,6.0,3.5500000000000007,0.05763761
829,77,640.4588881,0,1.0,2.0,3.0,0.0,1.0,8.0,107,3.0,1,5.0,5.19,0.282639057
14724,68,643.8060556,0,1.0,3.0,1.0,0.0,1.0,0.0,112,3.0,2,5.0,5.78,0.174562029
14339,65,685.3909879,0,1.0,1.0,2.0,1.0,1.0,7.0,157,1.0,3,7.0,6.5200000000000005,0.376936006
18034,69,643.1674683,0,0.0,2.0,3.0,1.0,1.0,6.0,127,3.0,3,7.0,6.51,0.425292856
4323,75,648.1340899,0,0.0,3.0,2.0,1.0,1.0,3.0,208,0.0,1,9.0,5.37,0.478479933
1312,65,645.5151033,0,1.0,1.0,5.0,1.0,1.0,6.0,203,3.0,2,6.0,4.1,0.260402672
7268,70,652.6784882,0,0.0,3.0,1.0,1.0,1.0,7.0,104,1.0,3,5.0,6.6000000000000005,0.385416723
16729,55,639.9014361,0,0.0,3.0,1.0,1.0,1.0,3.0,100,1.0,3,6.0,4.640000000000001,0.332165164
6538,61,653.3997264,0,1.0,2.0,4.0,1.0,0.0,0.0,103,3.0,4,6.0,6.65,0.125911747
15988,96,648.313253,0,0.0,2.0,3.0,0.0,1.0,0.0,150,1.0,1,7.0,4.630000000000001,0.514342099
13291,96,643.0567973,0,1.0,0.0,2.0,1.0,1.0,3.0,97,2.0,4,5.0,6.99,0.518926926
8940,78,670.2950994,0,1.0,0.0,0.0,1.0,0.0,7.0,168,3.0,3,6.0,5.82,0.527435723
6951,74,645.3030465,0,0.0,1.0,1.0,1.0,1.0,5.0,177,0.0,3,6.0,6.46,0.045664642
20534,82,643.1939219,0,0.0,3.0,5.0,1.0,0.0,1.0,140,3.0,2,6.0,4.68,0.246998191
3734,104,691.2954975,0,1.0,2.0,0.0,1.0,1.0,4.0,129,3.0,3,6.0,6.220000000000001,0.469961531
15177,91,675.4609916,0,0.0,2.0,0.0,1.0,1.0,3.0,127,0.0,4,5.0,7.1000000000000005,0.034816853
4820,111,644.4452326,0,1.0,3.0,0.0,0.0,1.0,3.0,71,3.0,4,5.0,7.11,0.177868629
3329,136,642.9586954,0,1.0,1.0,0.0,1.0,0.0,7.0,187,0.0,4,6.0,5.61,0.551875235
12675,113,646.3984625,0,1.0,2.0,2.0,1.0,0.0,3.0,98,1.0,1,5.0,5.890000000000001,0.38005459
4814,124,669.1050003,0,0.0,1.0,1.0,1.0,1.0,0.0,218,3.0,4,1.0,6.33,0.137922652
18544,57,660.0394782,0,0.0,2.0,0.0,0.0,1.0,7.0,138,3.0,1,7.0,4.800000000000001,0.026692091
11727,110,652.8834248,0,0.0,2.0,4.0,1.0,1.0,5.0,226,3.0,2,9.0,4.83,0.474266307
16769,92,641.3969572,0,0.0,1.0,2.0,1.0,0.0,4.0,105,1.0,3,7.0,6.53,0.248624924
5246,105,646.9369741,0,1.0,1.0,2.0,1.0,1.0,1.0,202,3.0,2,6.0,3.88,0.708496821
3927,94,645.1942789,0,0.0,3.0,0.0,2.0,1.0,6.0,225,3.0,3,1.0,6.07,0.355573529
18969,89,646.2789684,1,1.0,1.0,1.0,1.0,1.0,4.0,126,3.0,3,5.0,6.73,0.472054503
7153,89,646.870227,0,0.0,3.0,3.0,1.0,1.0,5.0,132,3.0,2,7.0,5.34,0.18479147
4270,88,661.2093999,1,1.0,3.0,3.0,1.0,1.0,0.0,145,0.0,2,6.0,3.94,0.445154685
20245,66,640.8983474,0,0.0,3.0,1.0,1.0,1.0,6.0,188,3.0,2,7.0,5.78,0.791292419
7102,81,643.7733656,0,1.0,2.0,0.0,1.0,1.0,3.0,133,2.0,4,7.0,6.73,0.10323964
9392,91,653.0010312,0,1.0,3.0,0.0,1.0,1.0,7.0,117,3.0,4,5.0,7.16,0.370762135
20629,88,631.7961093,0,1.0,1.0,1.0,1.0,1.0,3.0,168,3.0,4,7.0,6.6000000000000005,0.492044464
8909,111,670.4662819,0,0.0,1.0,1.0,1.0,1.0,7.0,226,0.0,4,9.0,6.34,0.133616158
14919,97,648.6881702,1,0.0,2.0,3.0,1.0,0.0,7.0,314,0.0,4,8.0,6.08,0.48454458
3586,67,657.0716326,1,1.0,1.0,2.0,0.0,1.0,7.0,108,0.0,3,3.0,4.5,0.886186586
3198,61,642.3487341,0,0.0,1.0,0.0,1.0,0.0,3.0,106,0.0,1,6.0,2.96,0.718408974
248,126,655.3912252,0,0.0,2.0,1.0,1.0,1.0,0.0,115,3.0,4,5.0,6.800000000000001,0.650057969
5834,77,645.9747465,0,0.0,0.0,1.0,1.0,0.0,5.0,190,3.0,2,7.0,5.5200000000000005,0.247068158
2741,98,659.9117869,0,0.0,0.0,0.0,1.0,1.0,7.0,102,3.0,3,5.0,6.65,0.741986372
2725,107,658.4001902,0,0.0,3.0,5.0,1.0,0.0,0.0,257,0.0,4,1.0,6.29,0.089801288
10561,84,650.6546117,0,1.0,2.0,2.0,0.0,1.0,1.0,144,0.0,2,5.0,5.73,0.35559787
17090,69,642.385611,0,1.0,2.0,2.0,1.0,0.0,4.0,151,3.0,2,7.0,5.5,0.627899958
9195,114,659.6830203,0,1.0,3.0,0.0,1.0,0.0,3.0,175,0.0,3,7.0,6.800000000000001,0.056590595
7937,95,638.1753798,0,1.0,2.0,2.0,1.0,1.0,3.0,95,3.0,3,5.0,5.79,0.319811143
7094,93,639.5386758,0,1.0,2.0,3.0,1.0,1.0,3.0,112,3.0,3,7.0,6.390000000000001,0.776416319
11783,68,643.1592976,1,0.0,2.0,5.0,1.0,0.0,0.0,126,3.0,4,5.0,7.11,0.946808501
13112,75,649.2967673,0,1.0,1.0,0.0,1.0,1.0,3.0,144,3.0,2,7.0,5.48,0.482746343
14020,82,637.0876906,1,0.0,2.0,1.0,1.0,1.0,1.0,153,3.0,3,7.0,5.970000000000001,0.452094045
14340,61,659.8634376,0,0.0,2.0,5.0,1.0,1.0,3.0,157,3.0,4,7.0,6.76,0.458251446
17799,117,644.5332307,0,0.0,2.0,1.0,2.0,0.0,0.0,267,0.0,2,8.0,3.8,0.132384045
11914,95,651.7282462,0,0.0,0.0,0.0,2.0,0.0,0.0,130,2.0,3,6.0,5.09,0.428442139
5666,94,659.9798013,0,0.0,2.0,0.0,1.0,0.0,0.0,161,3.0,3,7.0,6.59,0.101848994
15568,98,656.5952657,0,1.0,1.0,2.0,1.0,1.0,0.0,132,3.0,2,7.0,5.640000000000001,0.795169334
8060,55,643.1139378,1,1.0,1.0,2.0,1.0,0.0,7.0,119,1.0,3,6.0,3.17,0.999318646
1384,55,651.6105444,0,0.0,2.0,0.0,1.0,0.0,3.0,138,3.0,1,5.0,5.92,0.145195529
6988,71,649.2918741,0,0.0,2.0,2.0,0.0,1.0,0.0,181,3.0,3,7.0,6.26,0.622944719
3419,112,665.406616,0,1.0,3.0,3.0,1.0,0.0,3.0,165,3.0,4,6.0,6.33,0.140416755
17258,73,670.7869326,0,1.0,2.0,0.0,1.0,1.0,6.0,102,0.0,4,6.0,6.130000000000001,0.148400738
15273,98,652.1204456,0,1.0,1.0,1.0,1.0,1.0,8.0,183,3.0,4,7.0,7.180000000000001,0.098308907
17024,55,644.9905509,0,1.0,1.0,4.0,1.0,1.0,0.0,112,2.0,3,7.0,6.57,0.499050146
13695,110,642.9666131,0,0.0,3.0,0.0,1.0,1.0,4.0,107,0.0,2,7.0,5.5600000000000005,0.081758387
8221,66,671.579561,1,1.0,3.0,1.0,2.0,0.0,7.0,116,3.0,4,5.0,6.99,0.443466116
20599,131,641.4919066,0,0.0,1.0,1.0,1.0,1.0,0.0,152,0.0,2,7.0,6.0,0.335896909
3818,104,669.3744298,0,1.0,1.0,0.0,1.0,0.0,1.0,93,3.0,2,5.0,5.8100000000000005,0.145210913
8092,83,641.1736872,0,1.0,2.0,3.0,2.0,1.0,7.0,141,3.0,3,7.0,6.300000000000001,0.19853026
12461,82,656.4154217,0,1.0,1.0,1.0,1.0,0.0,0.0,157,3.0,3,7.0,6.61,0.560930471
22476,100,644.262148,0,1.0,2.0,2.0,1.0,0.0,0.0,117,3.0,1,6.0,4.390000000000001,0.452587376
21245,96,651.5546437,0,0.0,1.0,5.0,1.0,0.0,2.0,259,3.0,2,9.0,3.89,0.241239323
12321,55,639.3543631,1,1.0,2.0,0.0,1.0,0.0,7.0,174,0.0,4,6.0,6.76,0.915122371
10060,91,665.6961863,0,1.0,2.0,4.0,1.0,0.0,4.0,308,0.0,3,8.0,4.23,0.451311544
20654,78,666.1353006,1,1.0,3.0,3.0,1.0,1.0,3.0,125,1.0,4,5.0,6.680000000000001,0.441952585
3861,57,642.8644921,0,1.0,1.0,4.0,1.0,0.0,7.0,143,3.0,1,6.0,-0.4199999999999999,0.038584814
4179,91,679.2428263,0,1.0,2.0,0.0,1.0,0.0,5.0,205,1.0,2,7.0,5.82,0.422655846
6445,71,651.9126126,0,1.0,1.0,2.0,1.0,1.0,3.0,161,3.0,4,7.0,6.84,0.846038703
11901,103,647.0743692,0,1.0,1.0,1.0,1.0,1.0,4.0,233,3.0,4,9.0,6.79,0.410678185
1093,77,662.2572737,0,1.0,2.0,0.0,1.0,0.0,7.0,146,3.0,3,5.0,6.25,0.442091325
21569,79,647.6838117,0,0.0,1.0,0.0,1.0,0.0,0.0,289,1.0,2,9.0,4.41,0.434896851
15322,59,648.3747479,0,0.0,3.0,1.0,0.0,0.0,5.0,201,3.0,1,7.0,5.0600000000000005,0.365595932
8179,55,645.4021991,0,0.0,0.0,2.0,1.0,0.0,4.0,127,0.0,2,5.0,5.61,0.376654064
1115,55,642.2257608,0,1.0,1.0,2.0,1.0,1.0,3.0,101,3.0,2,6.0,2.9300000000000006,0.863426432
14903,98,647.2896905,0,1.0,1.0,3.0,1.0,1.0,2.0,157,0.0,3,6.0,5.5200000000000005,0.394330203
2728,100,640.445612,1,0.0,2.0,0.0,1.0,0.0,7.0,275,3.0,3,1.0,6.09,0.906948491
17946,98,636.2745096,0,0.0,2.0,0.0,1.0,0.0,7.0,120,3.0,1,5.0,5.7700000000000005,0.165448222
11515,68,648.2587205,0,1.0,2.0,3.0,1.0,1.0,2.0,182,3.0,4,7.0,7.0200000000000005,0.054379954
