id,fold,sample,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0,expected_loss
1,2,1|bld,5.800000000000001,0.362190934,suv,2,f,b,1,hybrid,161,73.0,black,m,0,weekday,12pm - 6pm,6,646.516468959908,0.0,1,1,2023.198184,5585.9989692618865
2,3,1|bld,5.67,0.632068296,stnwg,4,f,a,2,dissel,100,88.0,green,s,0,weekend,6am - 12pm,12,635.4003694635038,0.0,1,1,3600.172234,5695.859540469658
3,1,1|bld,5.9,0.36746022,sedan,2,f,c,2,petrol,74,55.0,gray,m,0,weekday,6am - 12pm,12,646.4631312352559,0.0,1,1,2021.144067,5500.307127122494
4,2,1|bld,4.790000000000001,0.802184035,stnwg,3,m,b,4,dissel,121,98.0,black,m,1,weekday,6pm - 12am,12,645.5987936458331,0.0,1,1,4006.845492,4994.920513470453
5,2,1|bld,6.680000000000001,0.485009058,sedan,3,m,c,1,petrol,75,66.0,blue,s,0,weekday,6am - 12pm,12,657.3486121946447,0.0,1,1,2542.953931,5243.106059681055
6,2,1|bld,4.5600000000000005,0.945653025,panvn,1,f,c,1,petrol,101,106.0,silver,s,1,weekday,6am - 12pm,12,648.5957345781595,1.0,1,1,4216.310125,4458.622786090067
7,3,1|bld,6.430000000000001,0.853331382,hdtop,4,f,c,2,dissel,226,102.0,red,s,1,weekday,12pm - 6pm,12,641.4572146319845,1.0,1,1,4058.602445,4756.185616293202
8,1,1|bld,6.16,0.648294738,sedan,1,m,a,4,petrol,86,55.0,white,m,1,weekday,12pm - 6pm,12,639.2014502275869,0.0,1,1,3527.8550910000004,5441.745681730337
9,3,1|bld,6.390000000000001,0.383726231,sedan,2,m,c,4,dissel,95,98.0,white,m,1,weekday,6am - 12pm,12,643.6053452139595,0.0,1,1,2002.774201,5219.278848309956
10,4,2|val,6.49,0.746884135,truck,4,f,b,2,dissel,267,74.0,blue,m,0,weekday,12pm - 6pm,12,648.1363547858149,0.0,1,1,3906.881054,5230.90646985024
11,2,1|bld,6.34,0.377110493,coupe,4,m,a,4,petrol,248,84.0,green,m,0,weekday,6am - 12pm,6,648.015660479657,0.0,1,1,2021.467231,5360.410989677765
12,1,1|bld,5.24,0.798147566,mcara,4,f,a,1,petrol,126,120.0,white,s,0,weekday,12pm - 6pm,12,662.5343319694516,0.0,1,1,3588.592127,4496.151187912035
13,2,1|bld,5.5600000000000005,0.485965743,sedan,1,f,d,5,petrol,76,111.0,silver,m,0,weekday,6am - 12pm,6,640.6007489578296,1.0,1,1,2429.864858,5000.074373555174
14,4,2|val,6.5600000000000005,0.848036081,sedan,3,m,d,4,electric,129,59.0,blue,s,1,weekday,6am - 12pm,12,654.6862051761476,0.0,1,1,4260.552605,5024.022798624295
15,4,2|val,6.09,0.3565439975,sedan,2,m,c,1,petrol,122,62.0,gray,m,1,weekend,6am - 12pm,6,642.8429432574177,0.0,1,1,2056.330796,5767.397040529339
16,2,1|bld,3.84,0.816822092,stnwg,3,m,f,1,dissel,138,56.0,gray,s,1,weekend,6pm - 12am,12,643.6883787333937,0.0,1,1,4713.809284999999,5770.913068056439
17,1,1|bld,3.5100000000000007,0.842264353,stnwg,2,f,c,4,petrol,110,107.0,gray,s,1,weekday,6pm - 12am,12,640.0560071390347,1.0,1,1,4283.724092,5085.961523531319
18,1,1|bld,3.87,0.999323342,ute,1,m,f,2,hybrid,208,120.0,black,m,1,weekend,6am - 12pm,12,642.0443592230812,1.0,1,1,3990.50539,3993.207425750293
19,4,2|val,7.13,0.896205855,sedan,4,m,b,3,petrol,115,83.0,blue,s,1,weekday,6am - 12pm,12,655.7338989944487,0.0,1,1,4756.658716,5307.551484362931
20,3,1|bld,5.880000000000001,0.847057285,hdtop,4,m,e,3,dissel,277,74.0,white,m,1,weekday,12pm - 6pm,12,642.4686817622343,0.0,1,1,4573.033445,5398.729845054104
21,2,1|bld,5.98,0.305243731,suv,2,m,c,1,petrol,136,103.0,green,m,0,weekend,12pm - 6pm,6,641.8797743917615,0.0,1,1,2102.737282,6888.715699782872
22,2,1|bld,5.6000000000000005,0.735371574,stnwg,4,f,b,4,petrol,188,71.0,gray,s,0,weekday,12pm - 6pm,12,644.8391792006959,0.0,1,1,4181.198503,5685.831015001948
23,2,1|bld,4.98,0.858436385,stnwg,3,f,a,5,hybrid,127,115.0,white,s,0,weekday,6pm - 12am,12,656.8206502979498,0.0,1,1,3932.77235,4581.320664780536
24,1,1|bld,5.98,0.395132021,sedan,2,m,b,4,dissel,95,100.0,gray,m,1,weekday,6pm - 12am,6,643.9246877628967,0.0,1,1,2142.930175,5423.327042887268
25,4,2|val,6.37,0.401095894,suv,3,m,a,3,petrol,183,63.0,gray,s,0,weekday,12pm - 6pm,12,642.5239233710312,0.0,1,1,2347.028119,5851.538632305222
26,4,2|val,5.0,0.744177781,stnwg,3,m,f,2,petrol,155,74.0,red,m,0,weekday,12pm - 6pm,12,654.4587079803767,0.0,1,1,3843.550145,5164.827871957118
27,3,1|bld,5.95,0.676406179,sedan,3,f,a,2,petrol,129,77.0,black,m,1,weekend,12pm - 6pm,12,633.9840188883015,0.0,1,1,3632.123494,5369.737306908901
28,2,1|bld,1.8500000000000003,0.964230091,stnwg,1,f,d,6,petrol,112,102.0,blue,s,1,weekday,6am - 12pm,12,640.012065334105,1.0,1,1,4241.361275,4398.702461775796
29,1,1|bld,6.050000000000001,0.991231851,suv,3,f,c,5,electric,110,80.0,white,s,1,weekday,6am - 12pm,12,646.1302694999514,1.0,1,1,5825.740709000001,5877.273518927713
30,2,1|bld,6.5600000000000005,0.706479639,stnwg,4,m,a,3,petrol,197,75.0,white,s,1,weekend,6am - 12pm,12,640.6380163082382,0.0,1,1,3540.452356,5011.40041489575
