id,driving_history_score,credit_score,low_education_ind,marital_status,time_driven,area,agecat_grouped,gender,veh_color,max_power,engine_type,veh_age,veh_body_grouped,veh_value,claimcst0,numclaims,clm,exposure
1,73.0,646.516468959908,0.0,0.0,1.0,1.0,2.0,0.0,0.0,161,2.0,2,7.0,5.800000000000001,2023.198184,1,1,0.362190934
2,88.0,635.4003694635038,0.0,1.0,2.0,0.0,1.0,0.0,4.0,100,0.0,4,6.0,5.67,3600.172234,1,1,0.632068296
3,55.0,646.4631312352559,0.0,0.0,2.0,2.0,1.0,0.0,3.0,74,3.0,2,5.0,5.9,2021.144067,1,1,0.36746022
4,98.0,645.5987936458331,0.0,0.0,3.0,1.0,1.0,1.0,0.0,121,0.0,3,6.0,4.790000000000001,4006.845492,1,1,0.802184035
5,66.0,657.3486121946447,0.0,1.0,2.0,2.0,2.0,1.0,1.0,75,3.0,3,5.0,6.680000000000001,2542.953931,1,1,0.485009058
6,106.0,648.5957345781595,1.0,1.0,2.0,2.0,2.0,0.0,6.0,101,3.0,1,4.0,4.5600000000000005,4216.310125,1,1,0.945653025
7,102.0,641.4572146319845,1.0,1.0,1.0,2.0,1.0,0.0,5.0,226,0.0,4,1.0,6.430000000000001,4058.602445,1,1,0.853331382
8,55.0,639.2014502275869,0.0,0.0,1.0,0.0,1.0,1.0,7.0,86,3.0,1,5.0,6.16,3527.8550910000004,1,1,0.648294738
9,98.0,643.6053452139595,0.0,0.0,2.0,2.0,1.0,1.0,7.0,95,0.0,2,5.0,6.390000000000001,2002.774201,1,1,0.383726231
11,84.0,648.015660479657,0.0,0.0,2.0,0.0,1.0,1.0,4.0,248,3.0,4,0.0,6.34,2021.467231,1,1,0.377110493
12,120.0,662.5343319694516,0.0,1.0,1.0,0.0,2.0,0.0,7.0,126,3.0,4,3.0,5.24,3588.592127,1,1,0.798147566
13,111.0,640.6007489578296,1.0,0.0,2.0,3.0,1.0,0.0,6.0,76,3.0,1,5.0,5.5600000000000005,2429.864858,1,1,0.485965743
16,56.0,643.6883787333937,0.0,1.0,3.0,5.0,2.0,1.0,3.0,138,0.0,3,6.0,3.84,4713.809284999999,1,1,0.816822092
17,107.0,640.0560071390347,1.0,1.0,3.0,2.0,1.0,0.0,3.0,110,3.0,2,6.0,3.5100000000000007,4283.724092,1,1,0.842264353
18,120.0,642.0443592230812,1.0,0.0,2.0,5.0,1.0,1.0,0.0,208,2.0,1,9.0,3.87,3990.50539,1,1,0.999323342
20,74.0,642.4686817622343,0.0,0.0,1.0,4.0,1.0,1.0,7.0,277,0.0,4,1.0,5.880000000000001,4573.033445,1,1,0.847057285
21,103.0,641.8797743917615,0.0,0.0,1.0,2.0,2.0,1.0,4.0,136,3.0,2,7.0,5.98,2102.737282,1,1,0.305243731
22,71.0,644.8391792006959,0.0,1.0,1.0,1.0,1.0,0.0,3.0,188,3.0,4,6.0,5.6000000000000005,4181.198503,1,1,0.735371574
23,115.0,656.8206502979498,0.0,1.0,3.0,0.0,1.0,0.0,7.0,127,2.0,3,6.0,4.98,3932.77235,1,1,0.858436385
24,100.0,643.9246877628967,0.0,0.0,3.0,1.0,1.0,1.0,3.0,95,0.0,2,5.0,5.98,2142.930175,1,1,0.395132021
27,77.0,633.9840188883015,0.0,0.0,1.0,0.0,1.0,0.0,0.0,129,3.0,3,5.0,5.95,3632.123494,1,1,0.676406179
28,102.0,640.012065334105,1.0,1.0,2.0,3.0,0.0,0.0,1.0,112,3.0,1,6.0,1.8500000000000003,4241.361275,1,1,0.964230091
29,80.0,646.1302694999514,1.0,1.0,2.0,2.0,1.0,0.0,7.0,110,1.0,3,7.0,6.050000000000001,5825.740709000001,1,1,0.991231851
30,75.0,640.6380163082382,0.0,1.0,2.0,0.0,1.0,1.0,7.0,197,3.0,4,6.0,6.5600000000000005,3540.452356,1,1,0.706479639
31,93.0,640.2044695128186,0.0,1.0,1.0,2.0,2.0,1.0,4.0,152,2.0,3,7.0,6.75,2314.691121,1,1,0.425290028
34,57.0,663.0891266521792,0.0,1.0,2.0,1.0,1.0,1.0,1.0,184,0.0,3,7.0,6.300000000000001,4341.766331,1,1,0.827622104
36,81.0,675.1706931719897,0.0,1.0,1.0,5.0,1.0,1.0,7.0,189,3.0,3,6.0,3.4400000000000004,4152.930829,1,1,0.853350702
37,96.0,645.3205856815472,0.0,1.0,2.0,0.0,1.0,1.0,1.0,157,3.0,2,7.0,5.800000000000001,2356.159931,1,1,0.440128088
38,106.0,641.567341745452,1.0,1.0,2.0,0.0,1.0,1.0,3.0,78,2.0,2,5.0,5.800000000000001,2124.873061,1,1,0.4226038405
40,64.0,649.9460986271515,0.0,1.0,1.0,5.0,1.0,0.0,0.0,110,0.0,3,6.0,5.45,4049.930534,1,1,0.744047385
41,60.0,648.9662040869492,1.0,1.0,1.0,1.0,1.0,1.0,0.0,93,3.0,3,5.0,5.220000000000001,4687.000918,1,1,0.941399859
45,104.0,663.9836594260213,0.0,1.0,1.0,2.0,0.0,1.0,2.0,142,3.0,3,5.0,6.800000000000001,3388.415392,1,1,0.560896563
46,68.0,634.5211988695647,0.0,0.0,3.0,2.0,1.0,1.0,6.0,123,3.0,4,6.0,5.45,4745.091294,1,1,0.81243191
48,102.0,637.9799097678451,0.0,1.0,2.0,0.0,1.0,1.0,3.0,103,1.0,3,5.0,6.0,2352.980935,1,1,0.477759658
49,73.0,651.4585326544482,0.0,0.0,1.0,0.0,1.0,0.0,7.0,199,3.0,2,7.0,5.24,4011.46246,1,1,0.599815433
51,86.0,655.8344987674237,0.0,1.0,2.0,3.0,1.0,0.0,3.0,103,3.0,3,4.0,5.67,3700.462949,1,1,0.750463546
52,84.0,656.0763593755547,0.0,0.0,2.0,4.0,1.0,1.0,6.0,103,0.0,2,6.0,4.18,2036.50924,1,1,0.3789185905
53,63.0,644.4570276996458,0.0,1.0,2.0,2.0,1.0,1.0,0.0,100,3.0,2,6.0,3.41,4457.394339,1,1,0.724639633
54,65.0,648.6307406000991,0.0,1.0,1.0,0.0,1.0,0.0,7.0,166,3.0,1,6.0,2.6500000000000004,2106.198866,1,1,0.38016847
55,117.0,679.8490736727233,0.0,0.0,1.0,2.0,1.0,0.0,7.0,117,0.0,2,7.0,5.23,2385.032897,1,1,0.460876093
57,90.0,644.4689251698194,0.0,1.0,1.0,2.0,1.0,0.0,6.0,186,3.0,4,7.0,7.15,2005.513276,1,1,0.348603647
58,90.0,649.9417425996974,1.0,0.0,2.0,2.0,1.0,1.0,1.0,158,3.0,2,5.0,5.96,4207.836192,1,1,0.936386813
59,55.0,655.570099670897,0.0,1.0,2.0,4.0,1.0,0.0,3.0,208,3.0,2,6.0,4.2,4072.128346,1,1,0.750107762
61,91.0,637.4308575627293,1.0,1.0,1.0,1.0,0.0,0.0,7.0,185,0.0,3,6.0,5.28,4221.620338000001,1,1,0.893713917
63,95.0,687.2486648134924,0.0,1.0,1.0,1.0,1.0,1.0,5.0,84,3.0,3,5.0,6.67,2352.430962,1,1,0.51822077
64,108.0,677.3266022360101,1.0,1.0,3.0,2.0,2.0,0.0,2.0,125,3.0,2,5.0,6.2700000000000005,5160.663255,1,1,0.996817594
65,83.0,641.7582232810753,1.0,1.0,1.0,0.0,1.0,0.0,0.0,187,0.0,3,6.0,4.57,2410.835189,1,1,0.454612806
66,82.0,646.5941126085249,0.0,0.0,3.0,2.0,0.0,0.0,0.0,203,3.0,1,6.0,4.540000000000001,2101.467572,1,1,0.446281838
67,67.0,654.2106268905214,0.0,0.0,1.0,0.0,2.0,1.0,2.0,201,3.0,2,7.0,5.48,3897.96578,1,1,0.70061626
68,74.0,641.4460137880324,1.0,1.0,1.0,5.0,1.0,0.0,0.0,197,0.0,3,6.0,4.99,4553.339494,1,1,0.99933142633
